"Environmental Class","Environmental Subclass","Beneficiary Category","Beneficiary Subcategory","FEGS ID Number","Potentially Relevant NAICS Code","FEGS","Example","Importance","FEGS Measurement including Units","Measurement Type","Status","Source","Notes"
"Aquatic","Rivers and Streams","Commercial / Military Transportation","Transporters of Goods","11.0401","483","presence of the environment","","opportunity for the transportation of goods","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Commercial / Military Transportation","Transporters of People","11.0402","483, 487","presence of the environment","","opportunity for the transportation of people","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Subsistence","Food Subsisters","11.0502","None","flora","wild rice, watercress, water pepper","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Subsistence","Food Subsisters","11.0502","None","fauna","fish, crawfish, clams, snails, alligator","edible organisms (i.e., birds, mammals, reptiles, etc.) that are hunted for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","11.0503","None","fauna","moose, beaver","organisms (i.e., mammals and reptiles) that provide fur or hides used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","11.0503","None","fiber","reeds, grasses","fiber used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Recreational","Experiencers and Viewers","11.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","visible water bodies (presence or absence)","Stock","Proposed","Marc Russell (USEPA)","NA"
"Aquatic","Rivers and Streams","Recreational","Experiencers and Viewers","11.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Recreational","Experiencers and Viewers","11.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Recreational","Experiencers and Viewers","11.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Recreational","Experiencers and Viewers","11.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Recreational","Food Pickers and Gatherers","11.0602","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Recreational","Food Pickers and Gatherers","11.0602","None","fauna","crawfish, clams, snails","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Recreational","Hunters","11.0603","None","fauna","moose, ducks, geese","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Recreational","Anglers","11.0604","None","fish","","fish in the water","fishermen / yr","Use","Proposed","Bill Fisher (USEPA)","NA"
"Aquatic","Rivers and Streams","Recreational","Waders, Swimmers, and Divers","11.0605","None","presence of the environment","","opportunity and conditions for wading, swimming, and/or diving","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Recreational","Boaters","11.0606","None","presence of the environment","","opportunity for recreational boating","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","11.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Inspirational","Artists","11.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Inspirational","Artists","11.0702","339, 423, 424, 512, 711","natural materials","shells, dried flowers","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Inspirational","Artists","11.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Inspirational","Artists","11.0702","339, 423, 424, 512, 711","sounds and scents","birds singing, rapids","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Learning","Educators and Students","11.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Learning","Researchers","11.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Non-Use","People Who Care (Existence)","11.0901","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Non-Use","People Who Care (Option / Bequest)","11.0902","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Agricultural","Livestock Grazers","12.0103","112","flora","salt hay, grasses","non-cultivated vegetation for livestock consumption","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Agricultural","Livestock Grazers","12.0103","112","open space","","suitable conditions (i.e., land) to graze livestock","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Agricultural","Aquaculturists","12.0105","112","presence of the environment","","opportunity provided by the environment for cultivating aquatic organisms","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Agricultural","Farmers","12.0106","111, 113","open space","","suitable conditions (i.e., land) in which to grow annual or perennial crops (NOT crops themselves)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Agricultural","Farmers","12.0106","111, 113","soil","","suitable soil in which annual or perennial crops (NOT crops themselves) can be grown","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Agricultural","Farmers","12.0106","111, 113","depredators and (pest) predators","","wild depredators and (pest) predators that provide opportunity to grow crops","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Food Extractors","12.0201","114, 311, 312, 454","flora","wild rice, lotus root","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Food Extractors","12.0201","114, 311, 312, 454","fauna","fish, crawfish, duck","edible organisms (i.e., birds, mammals, reptiles, etc.) for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","12.0202","339, 424, 453, 454","fiber","sphagnum, cattails, grasses","non-cultivated fiber for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","12.0202","339, 424, 453, 454","natural materials","shells, dried flowers","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","12.0202","339, 424, 453, 454","timber","cypress","non-cultivated timber (i.e., trees) for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Industrial Dischargers","12.0204","211, 212, 221, 311-339","presence of the environment","","opportunity to discharge into the environment","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Resource-Dependent Businesses","12.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of flooding, erosion, and pest infestation on the property","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","12.0207","325, 339, 424","flora","salix alba (salicylic acid), sweet flag","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","12.0207","325, 339, 424","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) or products associated with organisms (i.e., oils, fats, keratin, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Commercial / Industrial","Fur / Hide Trappers and Hunters","12.0208","114","fauna","beaver, alligator, snake","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Government, Municipal, and Residential","Residential Property Owners","12.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of flooding, erosion, and pest infestation on the property","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Government, Municipal, and Residential","Military / Coast Guard","12.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Government, Municipal, and Residential","Military / Coast Guard","12.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Subsistence","Food Subsisters","12.0502","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Subsistence","Food Subsisters","12.0502","None","fauna","fish, crawfish, ducks, nutria","edible organisms (i.e., birds, mammals, reptiles, etc.) that are hunted for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","12.0503","None","fauna","moose, beaver, alligator","organisms (i.e., mammals and reptiles) that provide fur or hides used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","12.0503","None","fiber","reeds, grasses, palm leaves","fiber used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","12.0503","None","timber","cypress","timber (i.e., trees) used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Experiencers and Viewers","12.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Experiencers and Viewers","12.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Experiencers and Viewers","12.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Experiencers and Viewers","12.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Experiencers and Viewers","12.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Food Pickers and Gatherers","12.0602","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Food Pickers and Gatherers","12.0602","None","fauna","crawfish, mussels","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Hunters","12.0603","None","fauna","beaver, ducks, geese, alligator","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Anglers","12.0604","None","fish","","fish in the water","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Waders, Swimmers, and Divers","12.0605","None","presence of the environment","","opportunity and conditions for wading, swimming, and/or diving","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Recreational","Boaters","12.0606","None","presence of the environment","","opportunity for recreational boating","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","12.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Inspirational","Artists","12.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Inspirational","Artists","12.0702","339, 423, 424, 512, 711","natural materials","shells, dried flowers","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Inspirational","Artists","12.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Inspirational","Artists","12.0702","339, 423, 424, 512, 711","sounds and scents","birds singing, frogs croaking","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Learning","Educators and Students","12.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Learning","Researchers","12.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Aquatic","Wetlands","Non-Use","People Who Care (Existence)","12.0901","813, 924","presence of the environment","","knowing that the environment exists","specific flora & fauna (no. of threatened and endangered species % non-native species)","Stock","Proposed","Marc Russell (USEPA)","departure from expected condition"
"Aquatic","Wetlands","Non-Use","People Who Care (Option / Bequest)","12.0902","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Agricultural","Aquaculturists","13.0105","112","presence of the environment","","opportunity provided by the environment for cultivating aquatic organisms","water quality; temperature; NO3 concentrations; nutrients; salinity","Stock","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Commercial / Industrial","Food Extractors","13.0201","114, 311, 312, 454","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) for commercial use or sale","presence of wild rice","Stock","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Commercial / Industrial","Food Extractors","13.0201","114, 311, 312, 454","fauna","fish, brine shrimp (from saline lakes)","edible organisms (i.e., birds, mammals, reptiles, etc.) for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","13.0202","339, 424, 453, 454","natural materials","shells, driftwood","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Commercial / Industrial","Industrial Dischargers","13.0204","211, 212, 221, 311-339","presence of the environment","","opportunity to discharge into the environment","water dilution capacity","Stock","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","this is a NPDES-connected beneficiary"
"Aquatic","Lakes and Ponds","Commercial / Industrial","Electric and other Energy Generators","13.0205","221","presence of the environment","","opportunity to install power generation structures, such as dams and water turbines","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Commercial / Industrial","Resource-Dependent Businesses","13.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of flooding, erosion, and pest infestation on the property","presence of marinas, resorts (number)","Use","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","13.0207","325, 339, 424","flora","","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","13.0207","325, 339, 424","fauna","fish for fish oil","organisms (i.e., birds, mammals, reptiles, etc.) or products associated with organisms (i.e., oils, fats, keratin, etc.) used in medicines or sold for medicinal purposes","brine shrimp population","Stock","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Commercial / Industrial","Fur / Hide Trappers and Hunters","13.0208","114","fauna","beaver","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Government, Municipal, and Residential","Residential Property Owners","13.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of flooding, erosion, and pest infestation on the property","visible water bodies (presence or absence) housing density (high, medium, low) % shoreline (residential or urban) water clarity (secchi depth) marcrophyte density","Stock / Use","Proposed","Marc Russell (USEPA), Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Government, Municipal, and Residential","Military / Coast Guard","13.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Government, Municipal, and Residential","Military / Coast Guard","13.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Commercial / Military Transportation","Transporters of Goods","13.0401","483","presence of the environment","","opportunity for the transportation of goods","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Commercial / Military Transportation","Transporters of People","13.0402","483, 487","presence of the environment","","opportunity for the transportation of people","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Subsistence","Food Subsisters","13.0502","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Subsistence","Food Subsisters","13.0502","None","fauna","fish, brine shrimp (from saline lakes)","edible organisms (i.e., birds, mammals, reptiles, etc.) that are hunted for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","13.0503","None","fauna","beaver","organisms (i.e., mammals and reptiles) that provide fur or hides used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","13.0503","None","fiber","reeds","fiber used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Recreational","Experiencers and Viewers","13.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","visible water bodies (presence or absence) hiking trails density of campgrounds and parks (high, medium, low)","Use","Proposed","Marc Russell (USEPA), Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Recreational","Experiencers and Viewers","13.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","water body character (1-5) aesthetics (1-5)","Stock","Proposed","Marc Russell (USEPA), Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Recreational","Experiencers and Viewers","13.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Recreational","Experiencers and Viewers","13.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Recreational","Experiencers and Viewers","13.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Recreational","Food Pickers and Gatherers","13.0602","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Recreational","Food Pickers and Gatherers","13.0602","None","fauna","mussels, clams","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Recreational","Hunters","13.0603","None","fauna","beaver, ducks, geese","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Recreational","Anglers","13.0604","None","fish","","fish in the water","anglers (number per year) angling pressure (high, medium, low)","Use","Proposed","Bill Fisher (USEPA), Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Recreational","Waders, Swimmers, and Divers","13.0605","None","presence of the environment","","opportunity and conditions for wading, swimming, and/or diving","swimmability (good, fair, not sustainable) secchi depth","Use","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","degree of usability for swimming"
"Aquatic","Lakes and Ponds","Recreational","Boaters","13.0606","None","presence of the environment","","opportunity for recreational boating","macrophyte presence/absence","Use","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","degree of usability for boating"
"Aquatic","Lakes and Ponds","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","13.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","naturalness of biotic assembly (Observed/Expected)","Stock","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Inspirational","Artists","13.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Inspirational","Artists","13.0702","339, 423, 424, 512, 711","natural materials","shells, driftwood","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Inspirational","Artists","13.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Inspirational","Artists","13.0702","339, 423, 424, 512, 711","sounds and scents","waves lapping, fish splashing","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Learning","Educators and Students","13.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Learning","Researchers","13.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Aquatic","Lakes and Ponds","Non-Use","People Who Care (Existence)","13.0901","813, 924","presence of the environment","","knowing that the environment exists","naturalness of biotic assembly (Observed/Expected)","Stock","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Lakes and Ponds","Non-Use","People Who Care (Option / Bequest)","13.0902","813, 924","presence of the environment","","knowing that the environment exists","naturalness of biotic assembly (Observed/Expected)","Stock","Proposed","Dave Peck (USEPA), John Stoddard (USEPA)","NA"
"Aquatic","Near Coastal Marine and Estuaries","Agricultural","Livestock Grazers","14.0103","112","flora","","non-cultivated vegetation for livestock consumption","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Agricultural","Livestock Grazers","14.0103","112","open space","","suitable conditions (i.e., land) to graze livestock","NA","NA","NA","NA","NA"
